"","Department","Province","District","%_Pop_1_NBI","%_Inadq_Housing","%_Overcrowding","%_Pop_No_Hygeine","%_High_Econ_Depend","%_Pop_No_pubwater","%_No_Light","%_Homes_Dirt_Floor","%_Homes_Firewood","%_no_computer","%_no_cellphone","%_no_internet","%_Homes_1_room","%_Difficulty_Moving","%_limited_interact_wothes","Illiteracy_Rate"
"1","LIMA","LIMA","SANTA MARIA DEL MAR",0.121,0.023,0.073,0,0.01,0.2978723404,0,0.02836879433,0.00333333333,0.4866666667,0.05333333333,0.52,0.2446808511,0.01901901902,0.004004004,0.06906906907
"2","LIMA","LIMA","CIENEGUILLA",0.247,0.123,0.117,0.019,0.01,0.5394237212,0.2249274067,0.1451865088,0.1345734179,0.6614361426,0.06016834667,0.7657695105,0.2391110118,0.01813516319,0.01110021912,0.08810979126
"3","LIMA","LIMA","LURIN",0.217,0.08,0.101,0.037,0.009,0.3205087295,0.06532342618,0.07225235903,0.0360779384,0.6045673581,0.06955793002,0.6917661848,0.1942380453,0.01815124166,0.00715286731,0.0784909468
"4","LIMA","LIMA","PACHACAMAC",0.258,0.137,0.115,0.015,0.014,0.4863760702,0.1634871576,0.1790827383,0.105719466,0.7059831877,0.0639854953,0.7773528927,0.2336850332,0.01560810749,0.00861262276,0.08847016925
"5","LIMA","LIMA","PUCUSANA",0.34,0.249,0.103,0.037,0.013,0.5983935743,0.2135601228,0.1608788094,0.0356408499,0.7317797578,0.08430431803,0.8030614576,0.2277344673,0.01766167484,0.0056409912,0.0846820227
"6","LIMA","LIMA","CARABAYLLO",0.2,0.08,0.104,0.013,0.012,0.1820193359,0.06348926968,0.1603826957,0.05013414395,0.6071597177,0.07837921863,0.6748649925,0.1683408557,0.02048371842,0.00791784894,0.07847287904
"7","LIMA","LIMA","PUNTA HERMOSA",0.378,0.306,0.087,0.013,0.01,0.7277544308,0.5158048602,0.3446007674,0.112565445,0.7280977312,0.08603839442,0.7221640489,0.3002009867,0.01367015245,0.00592163286,0.07490235605
"8","LIMA","LIMA","PUNTA NEGRA",0.149,0.057,0.072,0.002,0.01,0.2190889371,0.03470715835,0.08026030369,0.01673228346,0.5561023622,0.05659448819,0.532480315,0.1372017354,0.01724625389,0.00551314673,0.0764772406
"9","LIMA","LIMA","SAN BARTOLO",0.144,0.048,0.09,0.006,0.008,0.3078116917,0.03776513192,0.04914640455,0.00837988827,0.5246741155,0.07355679702,0.6024208566,0.1370926022,0.02018176958,0.00641539695,0.06789628442
"10","LIMA","LIMA","PUENTE PIEDRA",0.233,0.106,0.104,0.029,0.013,0.1463325338,0.08358793082,0.1648024239,0.053478754,0.6306895643,0.07566991648,0.6915577348,0.193182679,0.01879426708,0.00738606203,0.08017289755
"11","LIMA","LIMA","SAN JUAN DE MIRAFLORES",0.155,0.047,0.089,0.005,0.011,0.07348009727,0.03146038654,0.04308204275,0.00951346995,0.4919807044,0.08196134174,0.5329893561,0.1370536286,0.02592485199,0.00976299128,0.06518795447
"12","LIMA","LIMA","SANTIAGO DE SURCO",0.036,0.005,0.022,0.001,0.002,0.00296696165,0.00292575385,0.00546003358,0.00099418402,0.1549734056,0.03826614306,0.1798280062,0.06674633508,0.02036748979,0.0070727202,0.04117550554
"13","LIMA","LIMA","VILLA EL SALVADOR",0.155,0.044,0.09,0.004,0.011,0.04120561027,0.02210683378,0.03602506714,0.00953797782,0.5553972926,0.0858945547,0.6035303179,0.1221963593,0.02265965508,0.00887212845,0.07030316284
"14","LIMA","LIMA","ANCON",0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959
"15","LIMA","LIMA","ATE",0.18,0.058,0.104,0.011,0.011,0.09012038026,0.06698047282,0.08431892198,0.02181410431,0.5476255417,0.07180652787,0.6115404431,0.2191764566,0.02086295636,0.00933918117,0.07191303013
"16","LIMA","LIMA","CHACLACAYO",0.109,0.011,0.068,0.011,0.011,0.03296815808,0.0148459097,0.02610832395,0.02216682988,0.4254428915,0.07273212855,0.4626546782,0.1000307157,0.03255499627,0.01342281879,0.06431767338
"17","LIMA","LIMA","CHORRILLOS",0.131,0.037,0.078,0.003,0.007,0.0437557842,0.01328324895,0.02565463553,0.00633971724,0.4115392496,0.06706119153,0.454904844,0.1411753498,0.02291235071,0.00945770921,0.06055543357
"18","LIMA","LIMA","VILLA MARIA DEL TRIUNFO",0.219,0.11,0.103,0.01,0.011,0.1520661686,0.1000842029,0.107651805,0.02753759307,0.6038905081,0.08814159978,0.6537660854,0.1886358065,0.02406929145,0.00920355493,0.07269980147
"19","LIMA","LIMA","SAN MARTIN DE PORRES",0.111,0.015,0.08,0.002,0.006,0.02726150009,0.00663348903,0.02849649067,0.00618727109,0.4224270179,0.06768070738,0.4649397406,0.1659411606,0.02361015345,0.00829405442,0.05715941249
"20","LIMA","LIMA","COMAS",0.153,0.039,0.093,0.008,0.011,0.05398099261,0.02894192186,0.05892291447,0.00869460392,0.5083404909,0.0947892651,0.5491388274,0.1540865892,0.02552790854,0.00797386877,0.06444423095
"21","LIMA","LIMA","EL AGUSTINO",0.146,0.016,0.107,0.001,0.011,0.00766168728,0.01707828618,0.02647348371,0.00502260171,0.5289185952,0.09427037051,0.5744310938,0.1825964131,0.02683267794,0.00906156028,0.07114481399
"22","LIMA","LIMA","LA MOLINA",0.028,0.004,0.018,0,0.001,0.00673765424,0.00163817476,0.00335561603,0.00154056405,0.1212324512,0.02474841595,0.1315194434,0.04615953708,0.01933479766,0.00819596386,0.0395226011
"23","LIMA","LIMA","LOS OLIVOS",0.09,0.006,0.069,0,0.005,0.00076042874,0.00152085747,0.02444235226,0.00257384483,0.372550112,0.05944355926,0.3976757401,0.1615730012,0.02273201507,0.0087669232,0.05452246812
"24","LIMA","LIMA","LURIGANCHO",0.229,0.073,0.104,0.058,0.013,0.4367393197,0.1494341606,0.1391028694,0.06253303333,0.5901149182,0.07733196418,0.6806602135,0.1973457287,0.02114910263,0.00944297258,0.08156087271
"25","LIMA","LIMA","MIRAFLORES",0.012,0.001,0.006,0,0,0,0.00032473683,0.00043298244,5.315473e-05,0.1050337533,0.03678307553,0.115957051,0.06738289178,0.02597219566,0.00831512931,0.03438799239
"26","LIMA","LIMA","JESUS MARIA",0.03,0.002,0.021,0,0.001,0,0.00104297944,0.00052148972,4.20274e-05,0.1563419349,0.0404303606,0.1701269228,0.06301334145,0.0302153691,0.00883769689,0.03492615348
"27","LIMA","LIMA","LINCE",0.054,0.005,0.043,0,0.001,0.00045649073,0.00085592011,0.00102710414,0,0.2368493377,0.05298741274,0.2616940582,0.1222824536,0.02803823728,0.00793259125,0.0367202208
"28","LIMA","LIMA","MAGDALENA DEL MAR",0.035,0.002,0.025,0,0.001,0.00010786323,0.00118649552,0.00075504261,0.00015593326,0.1684079214,0.03695618275,0.1753209626,0.0707582785,0.02400066346,0.01161054901,0.03979101012
"29","LIMA","LIMA","SANTA ROSA",0.265,0.164,0.107,0.011,0.013,0.6028385855,0.1095742122,0.2211931682,0.130535322,0.7232049948,0.08047173084,0.7624002775,0.2653355785,0.0179808348,0.00803933532,0.09083731113
"30","LIMA","LIMA","PUEBLO LIBRE",0.03,0.002,0.02,0,0.001,0.00011850681,0.00047402726,0.00118506814,0.00015147499,0.1549210437,0.03991365926,0.1748778733,0.07529132925,0.02627125764,0.00828102685,0.03618448688
"31","LIMA","LIMA","SAN BORJA",0.021,0.001,0.014,0,0.001,0.00023882736,0.00038809446,0.00077618891,0.00020034345,0.1076416714,0.02902117916,0.1196622782,0.04621309371,0.02548411878,0.00770881348,0.03643363621
"32","LIMA","LIMA","SAN LUIS",0.094,0.005,0.075,0,0.003,0.0008087046,0.00220555801,0.00191148361,0.00061563718,0.3250564334,0.05499692181,0.3658937,0.2115865314,0.02828232403,0.00808340694,0.04544756346
"33","LIMA","LIMA","SAN MIGUEL",0.045,0.003,0.033,0,0.001,0.00063875898,0.00073001027,0.00319379491,0.00019476304,0.1852412898,0.03858472192,0.1992209478,0.08926656781,0.02423672965,0.00886835195,0.04378829223
"34","LIMA","LIMA","SANTA ANITA",0.143,0.01,0.115,0,0.009,0.00297337478,0.00741412932,0.01654663758,0.00233661658,0.4955963764,0.06835502193,0.5319038033,0.3010059274,0.02258248647,0.00974446268,0.06475582782
"35","LIMA","LIMA","SURQUILLO",0.064,0.003,0.05,0,0.002,0.00046718896,0.00136562927,0.00294688421,0.00027339211,0.2510081334,0.05160276126,0.2853188436,0.1469488967,0.02565285697,0.00889884974,0.0427913824
"36","LIMA","LIMA","BRENA",0.077,0.004,0.064,0,0.002,0.00036886758,0.00168039674,0.00168039674,0.00019612458,0.3107790068,0.05836667451,0.3354122539,0.1626706013,0.02704286769,0.00813513228,0.04413367874
"37","LIMA","LIMA","RIMAC",0.15,0.04,0.096,0.002,0.008,0.02065616279,0.02661129057,0.04579515239,0.01118665019,0.4804285126,0.09505562423,0.5184384013,0.1794229459,0.03030008296,0.01002374346,0.06013101811
"38","LIMA","LIMA","INDEPENDENCIA",0.187,0.057,0.114,0.011,0.015,0.04362423019,0.03767172664,0.07151243023,0.01202733317,0.5441769657,0.09721326875,0.5848636104,0.1923544314,0.02642411052,0.0090509084,0.06939345193
"39","LIMA","LIMA","SAN JUAN DE LURIGANCHO",0.194,0.082,0.104,0.008,0.01,0.1061161074,0.06035488138,0.1031183225,0.03203874996,0.5865819498,0.08268652797,0.6326887164,0.2198793059,0.02179981608,0.00864231412,0.07117800278
"40","LIMA","LIMA","SAN ISIDRO",0.011,0,0.006,0,0,4.842146e-05,0.00019368584,0.00043579314,0.00023727044,0.08627153229,0.03411948939,0.09353200778,0.04488669378,0.0277764057,0.00852885486,0.0323372026
"41","LIMA","LIMA","LA VICTORIA",0.153,0.007,0.13,0,0.005,0.00211117488,0.00709190785,0.0051857014,0.00084096065,0.4873464758,0.08929828679,0.5186771493,0.2824874969,0.03020215401,0.01030927835,0.05664343719
"42","LIMA","LIMA","BARRANCO",0.053,0.003,0.044,0,0.001,0.00054779512,0.00182598375,0.00429106181,0.0005227847,0.2343818071,0.05785484012,0.2512851791,0.1201497307,0.03170632381,0.00927919018,0.03956018384
"43","LIMA","LIMA","LIMA",0.106,0.006,0.084,0,0.005,0.00314664157,0.00449136018,0.00684461776,0.0009406979,0.3954999047,0.08634081231,0.4298226657,0.1831910173,0.03128726449,0.01003905318,0.05069461006
